ensembl_gene_id	hgnc_symbol	gene_biotype
ENSG00000131043	AAR2	protein_coding
ENSG00000167972	ABCA3	protein_coding
ENSG00000278183	ABCC1	protein_coding
ENSG00000103222	ABCC1	protein_coding
ENSG00000108846	ABCC3	protein_coding
ENSG00000125257	ABCC4	protein_coding
ENSG00000117528	ABCD3	protein_coding
ENSG00000140526	ABHD2	protein_coding
ENSG00000136754	ABI1	protein_coding
ENSG00000138443	ABI2	protein_coding
ENSG00000143322	ABL2	protein_coding
ENSG00000173210	ABLIM3	protein_coding
ENSG00000163322	ABRAXAS1	protein_coding
ENSG00000165660	ABRAXAS2	protein_coding
ENSG00000278540	ACACA	protein_coding
ENSG00000275176	ACACA	protein_coding
ENSG00000114331	ACAP2	protein_coding
ENSG00000230124	ACBD6	protein_coding
ENSG00000177076	ACER2	protein_coding
ENSG00000078124	ACER3	protein_coding
ENSG00000112304	ACOT13	protein_coding
ENSG00000123983	ACSL3	protein_coding
ENSG00000075624	ACTB	protein_coding
ENSG00000072110	ACTN1	protein_coding
ENSG00000282844	ACTN4	protein_coding
ENSG00000130402	ACTN4	protein_coding
ENSG00000131966	ACTR10	protein_coding
ENSG00000138071	ACTR2	protein_coding
ENSG00000115091	ACTR3	protein_coding
ENSG00000133627	ACTR3B	protein_coding
ENSG00000075089	ACTR6	protein_coding
ENSG00000113812	ACTR8	protein_coding
ENSG00000121989	ACVR2A	protein_coding
ENSG00000170634	ACYP2	protein_coding
ENSG00000168803	ADAL	protein_coding
ENSG00000151694	ADAM17	protein_coding
ENSG00000008277	ADAM22	protein_coding
ENSG00000275594	ADAM32	protein_coding
ENSG00000197140	ADAM32	protein_coding
ENSG00000138031	ADCY3	protein_coding
ENSG00000148700	ADD3	protein_coding
ENSG00000159346	ADIPOR1	protein_coding
ENSG00000285070	ADIPOR2	protein_coding
ENSG00000006831	ADIPOR2	protein_coding
ENSG00000101126	ADNP	protein_coding
ENSG00000239900	ADSL	protein_coding
ENSG00000139154	AEBP2	protein_coding
ENSG00000172493	AFF1	protein_coding
ENSG00000155966	AFF2	protein_coding
ENSG00000072364	AFF4	protein_coding
ENSG00000223959	AFG3L1P	transcribed_unitary_pseudogene
ENSG00000293510	AFG3L1P	lncRNA
ENSG00000141385	AFG3L2	protein_coding
ENSG00000119844	AFTPH	protein_coding
ENSG00000243289	AGAP13P	transcribed_unprocessed_pseudogene
ENSG00000164252	AGGF1	protein_coding
ENSG00000134698	AGO4	protein_coding
ENSG00000135049	AGTPBP1	protein_coding
ENSG00000106546	AHR	protein_coding
ENSG00000108599	AKAP10	protein_coding
ENSG00000170776	AKAP13	protein_coding
ENSG00000118507	AKAP7	protein_coding
ENSG00000127914	AKAP9	protein_coding
ENSG00000166452	AKIP1	protein_coding
ENSG00000174574	AKIRIN1	protein_coding
ENSG00000275199	AKT3	protein_coding
ENSG00000117020	AKT3	protein_coding
ENSG00000136010	ALDH1L2	protein_coding
ENSG00000101901	ALG13	protein_coding
ENSG00000110497	AMBRA1	protein_coding
ENSG00000166025	AMOTL1	protein_coding
ENSG00000153107	ANAPC1	protein_coding
ENSG00000053900	ANAPC4	protein_coding
ENSG00000154188	ANGPT1	protein_coding
ENSG00000029534	ANK1	protein_coding
ENSG00000185722	ANKFY1	protein_coding
ENSG00000131503	ANKHD1	protein_coding
ENSG00000001629	ANKIB1	protein_coding
ENSG00000167522	ANKRD11	protein_coding
ENSG00000101745	ANKRD12	protein_coding
ENSG00000076513	ANKRD13A	protein_coding
ENSG00000132466	ANKRD17	protein_coding
ENSG00000291582	ANKRD36	protein_coding
ENSG00000135976	ANKRD36	protein_coding
ENSG00000064999	ANKS1A	protein_coding
ENSG00000011426	ANLN	protein_coding
ENSG00000047617	ANO2	protein_coding
ENSG00000177119	ANO6	protein_coding
ENSG00000241859	ANOS2P	transcribed_unprocessed_pseudogene
ENSG00000143401	ANP32E	protein_coding
ENSG00000148120	AOPEP	protein_coding
ENSG00000161203	AP2M1	protein_coding
ENSG00000132842	AP3B1	protein_coding
ENSG00000177879	AP3S1	protein_coding
ENSG00000134982	APC	protein_coding
ENSG00000169621	APLF	protein_coding
ENSG00000155008	APOOL	protein_coding
ENSG00000142192	APP	protein_coding
ENSG00000157500	APPL1	protein_coding
ENSG00000021776	AQR	protein_coding
ENSG00000095139	ARCN1	protein_coding
ENSG00000168374	ARF4	protein_coding
ENSG00000066777	ARFGEF1	protein_coding
ENSG00000124198	ARFGEF2	protein_coding
ENSG00000071205	ARHGAP10	protein_coding
ENSG00000075884	ARHGAP15	protein_coding
ENSG00000146376	ARHGAP18	protein_coding
ENSG00000269891	ARHGAP19-SLIT1	protein_coding
ENSG00000107863	ARHGAP21	protein_coding
ENSG00000134909	ARHGAP32	protein_coding
ENSG00000160007	ARHGAP35	protein_coding
ENSG00000100852	ARHGAP5	protein_coding
ENSG00000047648	ARHGAP6	protein_coding
ENSG00000196914	ARHGEF12	protein_coding
ENSG00000163947	ARHGEF3	protein_coding
ENSG00000102606	ARHGEF7	protein_coding
ENSG00000117713	ARID1A	protein_coding
ENSG00000049618	ARID1B	protein_coding
ENSG00000189079	ARID2	protein_coding
ENSG00000166233	ARIH1	protein_coding
ENSG00000177479	ARIH2	protein_coding
ENSG00000169379	ARL13B	protein_coding
ENSG00000162980	ARL5A	protein_coding
ENSG00000113966	ARL6	protein_coding
ENSG00000134108	ARL8B	protein_coding
ENSG00000114098	ARMC8	protein_coding
ENSG00000120029	ARMH3	protein_coding
ENSG00000163466	ARPC2	protein_coding
ENSG00000241553	ARPC4	protein_coding
ENSG00000140450	ARRDC4	protein_coding
ENSG00000141337	ARSG	protein_coding
ENSG00000153317	ASAP1	protein_coding
ENSG00000151693	ASAP2	protein_coding
ENSG00000116539	ASH1L	protein_coding
ENSG00000129691	ASH2L	protein_coding
ENSG00000198363	ASPH	protein_coding
ENSG00000143970	ASXL2	protein_coding
ENSG00000156802	ATAD2	protein_coding
ENSG00000119778	ATAD2B	protein_coding
ENSG00000176208	ATAD5	protein_coding
ENSG00000107669	ATE1	protein_coding
ENSG00000123268	ATF1	protein_coding
ENSG00000118217	ATF6	protein_coding
ENSG00000171681	ATF7IP	protein_coding
ENSG00000166669	ATF7IP2	protein_coding
ENSG00000281089	ATG16L1	protein_coding
ENSG00000085978	ATG16L1	protein_coding
ENSG00000057663	ATG5	protein_coding
ENSG00000149311	ATM	protein_coding
ENSG00000068650	ATP11A	protein_coding
ENSG00000058063	ATP11B	protein_coding
ENSG00000163399	ATP1A1	protein_coding
ENSG00000074370	ATP2A3	protein_coding
