,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,host_symbols
chr16:85066899-85079003_+,668.592799327408,2.10676822158373,0.232681997985884,9.05428112110136,1.37470294626498e-19,3.52652546805354e-15,KIAA0513
chr2:186641588-186643669_+,86.9345307987564,2.96513634780488,0.334043124048753,8.87650765525748,6.89923882143484e-19,8.84930867431339e-15,ITGAV
chr1:247860616-247868063_+,1509.87012923113,1.80564343393908,0.222186216059722,8.12671220546702,4.410909692669e-16,3.77176887820126e-12,TRIM58
chr20:3854557-3861504_+,117.476731215136,1.69523995289536,0.209901309035045,8.07636674915792,6.67250008228631e-16,4.27924111527227e-12,MAVS
chr8:109390451-109441379_+,141.228565617221,5.33309256568012,0.684599952181855,7.79008609142213,6.69635524497193e-15,3.4356320219853e-11,PKHD1L1
chr9:35705961-35706111_-,14.6667284018872,2.40567169460597,0.315211839438666,7.63192048525214,2.31282081363484e-14,9.88846538869578e-11,TLN1
chr6:36470051-36484824_+,1440.49010858364,1.59933008992524,0.213853365635663,7.47862950471391,7.51016704208958e-14,2.75226164472463e-10,KCTD20
chr2:87583257-87585272_+,492.211994341304,1.56017989023169,0.213778108846857,7.29812747735242,2.91800113393371e-13,9.35693538610020e-10,CYTOR
chr3:151185329-151193666_+,36951.0959184349,1.99528499703656,0.275563281767369,7.24075059724751,4.46208287483354e-13,1.27184235542339e-09,MED12L
chr17:61982197-61983114_-,42.0136240024719,3.97948354022362,0.554407010399834,7.17790984885571,7.07852077550574e-13,1.39680994964653e-09,MED13
chr11:74122987-74133557_-,16.6880473017776,4.20432602495212,0.584543249961415,7.19249777536504,6.36166042985373e-13,1.39680994964653e-09,C2CD3
chr12:132508152-132527988_+,12.7652813375192,4.54166818503241,0.632063953569085,7.18545672378073,6.69828899094983e-13,1.39680994964653e-09,FBRSL1
chr17:3928662-3930434_-,19.2651223681377,2.78094760348715,0.386592251287267,7.19349028395475,6.31556490955784e-13,1.39680994964653e-09,ATP2A3
chr2:9350807-9385358_+,12.0167881300707,4.44523653332436,0.622806286017326,7.13743042278912,9.50917263789458e-13,1.74242004057078e-09,ASAP2
chr11:48137002-48144885_+,3025.24123313174,1.64676665281692,0.233923057272151,7.03977911378371,1.92544819510032e-12,3.29290150326057e-09,PTPRJ
chr20:34072065-34076040_+,92.4578767121031,3.74521780885453,0.540177466268229,6.93330996334974,4.11106056170535e-12,6.59131478683921e-09,RALY
chr22:36294091-36294298_-,155.456796136298,1.67240831014531,0.242074008854043,6.90866532124757,4.89234624298875e-12,7.38255048067002e-09,MYH9
chr22:36341369-36341526_-,44.1229972901809,1.87133772290642,0.272599702112024,6.86478271402293,6.65925349986154e-12,9.490546112886e-09,MYH9
chr2:181921947-181928278_+,222.50973366007,1.78412232899345,0.263692125904479,6.76592948262603,1.32456051355951e-11,1.78836583443905e-08,ITPRID2
chr6:6174579-6195885_-,360.347851026688,1.71758486430834,0.254575672247965,6.74685388883252,1.51085280772868e-11,1.9378953538332e-08,F13A1
chr9:35700190-35703676_-,57.0453170809336,2.2910253491792,0.340770206233088,6.72307997375841,1.77922862053505e-11,2.17345484774218e-08,TLN1
chr1:39422373-39435761_+,137.051367169328,3.08056734201856,0.459293778116597,6.70718282893118,1.98417606397632e-11,2.31363948041747e-08,MACF1
chr1:203796292-203803016_+,1474.96587163562,1.31727920045612,0.199405328657338,6.60603811004347,3.94741313077535e-11,4.40273865407739e-08,ZC3H11A
chr12:53381658-53383622_+,154.350315168986,1.86983744922001,0.283451652839507,6.59667153283007,4.20490941962879e-11,4.48210557487173e-08,SP1
chr9:35724571-35724959_-,6995.89956162472,1.26349215426403,0.191868454632887,6.58520003552195,4.54273359633045e-11,4.48210557487173e-08,TLN1
